race,circuit,driver,grid,actual_stops,actual_comp,actual_pits,p1_stops,p1_comp,p1_pits,set1,ord1,stop1,set_topk,ord_topk,in_short,pit_err_first,pit_err_all
2025R7,Imola,TSU,20,1,HARD-MEDIUM,[29],1,HARD-MEDIUM,[26],1,1,1,1,1,1,3,[3]
2025R21,São Paulo,NOR,1,2,MEDIUM-SOFT-MEDIUM,"[30, 50]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,ANT,2,2,SOFT-MEDIUM-MEDIUM,"[21, 47]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,PIA,4,2,MEDIUM-SOFT-MEDIUM,"[38, 51]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,HAD,5,2,SOFT-MEDIUM-MEDIUM,"[18, 37]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,RUS,6,2,MEDIUM-SOFT-MEDIUM,"[34, 48]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,LAW,7,1,SOFT-MEDIUM,[19],1,MEDIUM-HARD,[30],0,0,1,0,0,1,11,[11]
2025R21,São Paulo,BEA,8,2,SOFT-MEDIUM-MEDIUM,"[17, 42]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,GAS,9,2,SOFT-MEDIUM-MEDIUM,"[18, 39]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,HUL,10,1,MEDIUM-SOFT,[36],1,MEDIUM-HARD,[30],0,0,1,0,0,1,6,[6]
2025R21,São Paulo,ALO,11,2,HARD-MEDIUM-MEDIUM,"[28, 46]",1,MEDIUM-HARD,[30],0,0,0,1,0,1,,
2025R21,São Paulo,ALB,12,2,MEDIUM-SOFT-MEDIUM,"[35, 55]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,STR,14,2,HARD-MEDIUM-MEDIUM,"[29, 54]",1,MEDIUM-HARD,[30],0,0,0,1,0,1,,
2025R21,São Paulo,SAI,15,2,SOFT-MEDIUM-MEDIUM,"[17, 38]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
